Time,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16
16.5,729,732,414,612,893,652,556,273,504,169,811,763,756,420,319,751
17.0,120,944,194,840,203,519,166,468,165,425,90,764,315,898,904,520
17.5,255,222,947,351,26,391,187,148,425,396,697,441,23,231,413,65
18.0,123,843,49,1,411,993,1012,44,19,171,534,543,14,699,294,215
18.5,973,328,1022,181,681,561,224,739,45,97,440,128,460,705,637,318
19.0,527,839,232,611,449,780,579,543,591,495,511,211,787,698,530,66
19.5,833,635,658,206,656,44,700,111,877,269,373,260,941,596,438,489
20.0,71,564,236,213,133,991,725,572,455,530,528,716,672,354,299,277
20.5,417,761,338,997,986,226,664,431,926,124,137,462,214,934,196,144
21.0,434,254,377,494,845,318,992,761,52,314,905,922,553,338,871,230
21.5,640,652,213,284,746,294,254,534,945,867,526,776,840,649,515,404
22.0,738,188,751,381,277,969,70,875,383,141,755,574,544,414,79,616
22.5,687,810,363,860,110,489,344,647,583,323,460,791,989,32,812,661
23.0,868,93,41,82,801,689,258,392,605,277,169,1,7,596,1018,74
23.5,351,296,38,475,537,813,922,311,990,251,591,554,296,194,368,956
24.0,962,191,75,322,342,436,299,653,370,69,335,665,876,306,971,421
24.5,472,680,47,502,333,324,265,351,897,375,142,894,931,667,805,807
25.0,473,330,583,470,257,580,715,787,663,332,132,469,901,260,850,14
25.5,272,347,187,584,66,1013,555,372,153,394,590,550,355,443,697,270
26.0,176,663,492,325,804,524,525,69,665,364,717,90,319,294,985,709
26.5,172,467,82,101,20,442,426,70,99,384,877,834,168,650,868,279
27.0,18,476,491,729,662,758,219,506,903,90,486,198,652,816,786,525
27.5,828,296,340,69,741,546,853,277,706,91,580,94,609,783,492,628
28.0,991,645,207,182,710,435,316,749,568,410,880,430,697,905,537,452
28.5,723,843,727,464,639,535,170,615,516,481,490,131,651,645,143,374
29.0,820,180,512,144,409,845,733,774,816,382,354,557,339,677,706,629
29.5,772,192,855,17,133,894,781,937,876,291,814,408,154,152,608,736
30.0,738,105,822,946,574,537,535,776,358,189,980,665,789,324,436,329
30.5,993,496,488,534,346,542,280,399,819,117,840,582,903,447,920,582
31.0,267,996,455,814,302,32,183,191,816,729,866,531,889,539,381,932
31.5,629,820,626,189,859,668,22,950,609,938,38,149,13,589,320,895
32.0,849,241,561,774,432,948,759,667,356,512,47,315,910,739,88,176
32.5,637,282,213,550,1002,1023,463,426,106,56,210,913,55,182,218,567
33.0,990,620,731,329,777,723,815,208,443,863,423,109,891,624,806,491
33.5,680,678,467,717,224,1018,1007,677,317,625,298,720,143,311,879,922
34.0,95,851,370,911,227,575,191,874,851,416,217,231,22,342,141,20
34.5,383,448,173,817,37,744,180,370,443,271,832,940,791,129,427,945
35.0,144,816,577,669,85,13,419,675,468,140,98,559,878,933,879,705
35.5,597,221,894,957,6,986,168,521,931,688,435,666,125,625,352,313
36.0,945,277,12,696,101,470,4,121,619,140,685,682,669,805,56,239
36.5,723,286,602,684,961,38,129,386,821,970,710,644,749,402,94,890
37.0,922,509,880,94,553,459,47,994,885,947,553,740,783,839,358,348
37.5,180,460,49,871,274,352,545,202,423,174,1013,620,147,745,322,821
38.0,646,455,678,1017,80,697,934,658,870,679,542,375,813,772,648,566
38.5,711,192,814,334,953,469,1,324,371,113,535,252,229,111,87,336
39.0,362,84,549,834,537,830,887,150,193,797,855,488,733,348,947,277
39.5,348,679,953,736,142,807,280,308,282,721,37,926,308,435,898,229
40.0,115,156,143,328,204,722,595,382,255,783,203,41,314,383,932,731
40.5,418,771,570,397,106,974,484,95,582,385,820,191,221,405,748,403
41.0,753,170,388,785,616,290,154,427,144,872,160,975,13,115,104,150
41.5,851,521,604,217,434,699,1014,843,242,796,456,153,445,542,215,598
42.0,57,832,416,558,555,197,819,417,639,358,607,967,530,292,499,956
42.5,974,573,845,15,478,749,418,178,291,578,63,715,811,876,379,665
43.0,982,236,586,33,618,208,120,232,411,131,654,49,992,291,373,803
43.5,547,859,855,637,961,894,282,884,129,452,285,676,538,114,88,773
44.0,404,844,875,707,872,791,360,423,535,416,557,573,758,75,5,151
44.5,634,68,303,312,964,509,985,529,678,673,942,251,619,367,238,989
45.0,778,4,72,376,39,410,270,622,921,273,634,75,294,873,58,813
45.5,56,179,67,753,458,684,711,526,405,337,719,49,268,329,711,620
46.0,258,254,82,50,128,623,925,563,870,947,437,286,422,600,78,651
46.5,19,595,671,1018,166,251,179,983,586,350,906,602,152,1022,171,791
47.0,694,724,889,548,872,332,689,343,348,718,933,574,359,45,898,779
47.5,671,643,980,1018,639,613,1004,922,842,854,669,510,948,195,200,148
48.0,447,572,310,747,222,402,219,234,812,256,980,109,26,299,55,913
48.5,14,751,847,778,661,401,912,534,762,440,47,270,692,537,194,692
